"ID" "Region" "Type" "Afterschool" "Afterschool_time" "Tutoring_time" "Tutoring_amount" "Korean" "English" "Mathematics" "Computer" "Sex" "Nchildren" "Income" "Major"
244 2 1 1 1.333333 3 559.688851 0 359.799976 199.888875 0 2 3 6 2
245 2 1 2 0 6 359.799976 0 0 359.799976 0 2 2 7 6
246 2 1 1 8 9 655.635511 19.988888 299.833313 299.833313 0 2 2 6 3
247 3 1 2 0 6 119.933325 0 0 0 0 1 5 3 2
248 3 1 1 8 6 1039.82193 0 323.819978 359.799976 0 1 2 8 9
249 3 2 1 1 0 0 0 0 0 0 2 2 2 3
250 4 1 1 9.333333 15 459.00267 0 0 0 0 2 3 2 4
251 2 2 1 5.666667 0 0 0 0 0 0 1 2 4 9
252 1 1 1 3 16.333333 1199.333252 239.86665 0 479.733301 0 1 1 5 9
253 1 1 1 6 2.333333 353.078977 0 196.154987 156.92399 0 2 2 8 3
254 3 1 2 0 12 588.464961 0 294.232481 294.232481 0 1 2 3 3
255 2 1 2 0 0 0 0 0 0 0 1 2 8 2
256 2 1 1 9 6 1079.399927 359.799976 359.799976 0 0 2 2 3 4
257 2 1 2 0 0 0 0 0 0 0 2 2 1 6
258 3 1 1 1.333333 0 0 0 0 0 0 2 1 1 3
259 3 1 1 5 6 959.466602 0 239.86665 359.799976 0 1 2 4 8
260 3 1 1 4 0 0 0 0 0 0 1 3 1 9
261 3 2 2 0 0 0 0 0 0 0 2 3 2 3
262 2 2 1 8 0 0 0 0 0 0 1 3 2 6
263 3 1 1 8 4 239.86665 239.86665 0 0 0 1 1 4 4
264 2 2 2 0 0 0 0 0 0 0 2 2 3 1
265 2 1 2 0 4 588.464961 0 0 588.464961 0 1 1 1 6
266 2 1 1 1.333333 10 605.663292 179.899988 179.899988 179.899988 0 2 2 6 4
267 3 1 2 0 0 0 0 0 0 0 1 2 2 2
268 2 1 1 10 0 0 0 0 0 0 2 2 3 1
269 2 1 1 6.666667 6 706.157954 235.385985 0 470.771969 0 2 2 8 3
270 4 1 1 9 0 0 0 0 0 0 2 2 1 11
271 3 1 2 0 5 353.078977 0 353.078977 0 0 2 3 7 5
272 3 1 1 8 7 1230.515917 359.799976 390.98264 479.733301 0 1 2 7 10
273 2 1 2 0 11 635.646624 0 263.853315 323.819978 0 1 3 5 9
274 3 1 1 4 8 1047.467631 470.771969 294.232481 282.463181 0 2 1 4 5
275 3 1 1 7 10 419.766638 179.899988 239.86665 0 0 1 1 4 11
276 1 1 2 0 10 1004.313534 98.077494 588.464961 317.771079 0 1 2 4 9
277 3 1 1 1.333333 9 411.925473 0 0 411.925473 0 1 1 4 3
278 2 1 2 0 8 941.543938 0 353.078977 588.464961 0 1 1 8 3
279 2 1 2 0 1 58.846496 0 0 0 0 1 3 3 11
280 4 2 1 5.666667 0 0 0 0 0 0 1 2 3 3
281 4 1 2 0 0 0 0 0 0 0 2 1 1 3
282 3 1 2 0 0 0 0 0 0 0 1 3 2 9
283 2 1 1 2.666667 12 599.666626 0 0 0 0 2 2 6 4
284 2 1 2 0 15 706.157954 0 353.078977 353.078977 0 1 3 8 2
285 4 2 1 4.333333 0 0 0 0 0 0 2 2 2 11
286 1 2 1 0.666667 0 0 0 0 0 0 2 2 3 4
287 1 1 1 6.666667 12 959.466602 299.833313 359.799976 299.833313 0 1 3 5 11
288 3 2 2 0 0 0 0 0 0 0 1 3 1 2
289 3 1 2 0 8 1295.279912 335.813311 319.822201 639.644401 0 2 1 6 7
290 3 1 1 7.333333 6 719.599951 0 359.799976 359.799976 0 1 3 6 11
291 3 1 2 0 8 117.692992 0 0 0 0 2 3 3 4
292 4 1 2 0 15 799.555501 0 0 0 0 1 1 5 9
293 1 1 2 0 25.333333 1765.394884 353.078977 411.925473 588.464961 0 2 2 8 11
294 3 1 2 0 15 539.699963 179.899988 179.899988 179.899988 0 1 2 5 9
295 3 1 1 2.333333 0 0 0 0 0 0 1 1 5 9
296 3 1 1 5 0 0 0 0 0 0 1 3 2 3
297 2 1 1 8 10 1007.439932 359.799976 347.806643 299.833313 0 1 2 5 1
298 2 1 2 0 0 0 0 0 0 0 1 2 4 6
299 4 1 1 6 0 0 0 0 0 0 2 3 2 7
300 3 1 2 0 20 2377.398444 353.078977 588.464961 765.00445 0 1 2 8 7
301 2 1 1 6 0 0 0 0 0 0 1 2 2 2
302 2 2 1 5.666667 0 0 0 0 0 0 1 2 5 9
303 3 1 1 2 8 706.157954 0 235.385985 470.771969 0 2 2 8 7
304 2 1 2 0 0 0 0 0 0 0 1 2 1 2
305 4 1 2 0 0 0 0 0 0 0 2 2 4 11
306 3 2 2 0 0 0 0 0 0 0 2 1 2 4
307 4 1 1 1 11.333333 643.642179 91.948883 239.86665 311.826646 0 1 2 5 3
308 3 1 2 0 10 659.633289 0 0 659.633289 0 2 2 5 11
309 1 1 2 0 6.666667 823.850946 0 411.925473 411.925473 0 2 3 3 11
310 4 1 1 14.333333 4 282.463181 0 0 282.463181 0 1 2 7 11
311 3 1 1 5 4 569.683295 53.969996 53.969996 353.803309 0 2 3 8 11
312 4 1 1 1.333333 1.333333 156.92399 0 0 156.92399 0 1 2 6 7
313 3 1 1 4 8 399.777751 0 135.924435 143.91999 0 1 2 6 6
314 4 2 2 0 30 419.766638 0 0 0 0 2 2 6 2
315 3 1 1 4 3 882.697442 0 411.925473 294.232481 0 1 2 4 7
316 3 1 2 0 18 823.850946 0 411.925473 411.925473 0 2 3 5 5
317 4 1 2 0 8.666667 419.766638 0 0 419.766638 0 2 2 1 11
318 2 1 1 1.666667 2 294.232481 0 0 0 0 1 2 8 6
319 4 1 1 3.333333 4 368.771376 0 0 368.771376 0 1 2 4 8
320 2 1 1 3.333333 6 359.799976 0 0 359.799976 0 1 3 3 9
321 4 1 1 1.666667 0 0 0 0 0 0 1 2 8 5
322 4 1 1 5 2.333333 133.925546 0 0 0 0 2 4 3 6
323 3 1 2 0 0 0 0 0 0 0 1 3 2 2
324 4 1 1 1 3 235.385985 0 0 235.385985 0 2 2 2 3
325 3 1 1 1.666667 15 1059.236931 0 353.078977 353.078977 0 1 1 6 9
326 3 1 2 0 0 0 0 0 0 0 1 2 3 1
327 3 1 1 5.333333 5 500.521744 0 220.677318 279.844426 0 2 2 4 11
328 2 1 1 5 0 0 0 0 0 0 1 2 7 9
329 2 1 1 5.666667 4 423.764416 0 0 363.797753 0 2 2 5 8
330 3 1 1 1.666667 0 0 0 0 0 0 1 1 2 4
331 4 2 1 1.333333 0 0 0 0 0 0 2 5 5 3
332 4 1 2 0 8 58.846496 0 0 0 0 1 2 4 2
333 4 2 1 5 0 0 0 0 0 0 2 1 3 11
334 3 1 1 0.666667 4 462.92577 0 109.846793 353.078977 0 1 2 8 2
335 1 1 1 2.666667 9.333333 851.526609 0 0 0 0 2 2 7 4
336 3 1 1 0.666667 11.666667 219.693586 0 0 0 125.539192 1 2 4 1
337 3 1 1 7 0 0 0 0 0 0 1 3 3 3
338 3 1 2 0 0 0 0 0 0 0 1 2 7 3
339 1 1 2 0 0 0 0 0 0 0 2 2 8 11
340 3 1 1 1.333333 0 0 0 0 0 0 2 2 3 5
341 3 1 2 0 9.666667 549.233964 117.692992 137.308491 294.232481 0 1 1 5 9
342 3 1 2 0 16 623.653291 0 323.819978 299.833313 0 1 2 8 3
343 2 1 1 9 6 815.546611 0 0 599.666626 0 1 2 5 9
344 4 1 2 0 0 0 0 0 0 0 1 2 8 6
345 3 2 1 10 0 0 0 0 0 0 1 2 1 3
346 2 1 2 0 8 776.773749 0 353.078977 423.694772 0 2 2 8 9
347 3 1 2 0 0 0 0 0 0 0 2 3 1 2
348 3 1 2 0 4 1559.133228 0 779.566614 779.566614 0 1 2 8 9
349 3 1 2 0 0 0 0 0 0 0 1 2 3 7
350 2 1 1 10 10 891.947565 0 491.726633 359.799976 0 2 2 2 1
351 1 1 2 0 16 1479.177678 359.799976 359.799976 599.666626 0 2 2 8 10
352 4 2 1 4.333333 0.333333 47.97333 0 0 0 0 2 2 2 11
353 2 1 1 1.666667 0 0 0 0 0 0 2 4 3 11
354 4 1 1 3.333333 8 865.119053 0 445.352414 419.766638 0 2 2 5 7
355 4 1 2 0 0 0 0 0 0 0 2 2 3 2
356 4 1 1 3.333333 0 0 0 0 0 0 1 3 2 6
